Analytics User Interview  Experimentation Report Dicoverability (ERD)-20260513_093202-Meeting Recording
Prateek Oberoi   37:46Okay, and yeah, if you have any follow-ups, just let me know. We can schedule another 10, 15 minutes to go over things. Or if you want to like...
Athul Babu   37:47Yeah.
Prateek Oberoi   37:56meet after you interview everyone and then have some follow-ups, then we can do that too.
Kaushik B   38:00Yeah, we'll load that. I think we'll talk to the other person, put up like a point of view, and then probably we'll circle back with you and Dave, you know, once we have.
Prateek Oberoi   38:07Okay, perfect.Perfect.
Kaushik B   38:12Thank you, Padaki. Have a very good day.
Sowmiya S   38:12Thanks, Srinidhi. Thank you.
Prateek Oberoi   38:13All right, thank you. Bye.
Athul Babu   38:13Thank you.
Nilim Borah   38:15Thank you.
Athul Babu stopped transcription
